X,Y
929,473
930,473
930,474
931,474
931,478
932,478
932,480
933,480
933,482
934,482
934,484
936,484
936,485
940,485
940,486
941,486
941,487
942,487
942,488
943,488
943,489
944,489
944,490
945,490
945,491
947,491
947,492
948,492
948,491
949,491
949,490
951,490
951,489
953,489
953,488
956,488
956,491
955,491
955,492
954,492
954,494
953,494
953,497
952,497
952,499
951,499
951,501
952,501
952,502
954,502
954,501
956,501
956,500
957,500
957,498
958,498
958,495
959,495
959,489
960,489
960,488
962,488
962,489
963,489
963,490
964,490
964,491
965,491
965,492
966,492
966,498
965,498
965,501
966,501
966,503
967,503
967,504
968,504
968,503
970,503
970,501
971,501
971,499
972,499
972,489
973,489
973,488
975,488
975,489
976,489
976,494
977,494
977,496
978,496
978,501
977,501
977,502
976,502
976,503
975,503
975,504
974,504
974,506
973,506
973,508
972,508
972,509
971,509
971,510
970,510
970,511
969,511
969,512
962,512
962,511
960,511
960,510
959,510
959,516
956,516
956,515
954,515
954,514
952,514
952,513
946,513
946,514
944,514
944,515
942,515
942,516
941,516
941,517
940,517
940,518
941,518
941,519
945,519
945,518
946,518
946,517
947,517
947,516
948,516
948,515
952,515
952,516
953,516
953,517
954,517
954,520
953,520
953,521
950,521
950,522
946,522
946,523
945,523
945,527
944,527
944,528
940,528
940,527
939,527
939,526
938,526
938,525
937,525
937,524
936,524
936,523
934,523
934,526
935,526
935,527
936,527
936,528
939,528
939,531
938,531
938,532
934,532
934,533
933,533
933,535
934,535
934,536
933,536
933,537
932,537
932,538
931,538
931,539
930,539
930,540
927,540
927,539
926,539
926,538
925,538
925,534
926,534
926,533
929,533
929,532
930,532
930,530
929,530
929,529
928,529
928,528
927,528
927,527
926,527
926,526
925,526
925,525
920,525
920,526
919,526
919,532
918,532
918,534
917,534
917,535
918,535
918,538
917,538
917,539
916,539
916,540
914,540
914,539
913,539
913,538
912,538
912,537
911,537
911,533
912,533
912,531
913,531
913,529
914,529
914,528
913,528
913,525
912,525
912,524
911,524
911,525
910,525
910,527
909,527
909,528
908,528
908,529
907,529
907,530
906,530
906,531
903,531
903,530
902,530
902,529
901,529
901,528
902,528
902,525
901,525
901,524
900,524
900,523
899,523
899,522
898,522
898,520
897,520
897,518
895,518
895,519
894,519
894,522
893,522
893,523
892,523
892,524
891,524
891,523
890,523
890,522
889,522
889,520
888,520
888,515
887,515
887,516
886,516
886,517
885,517
885,519
884,519
884,523
883,523
883,524
882,524
882,525
880,525
880,528
881,528
881,529
882,529
882,530
881,530
881,531
880,531
880,532
876,532
876,531
875,531
875,530
874,530
874,529
873,529
873,525
874,525
874,524
875,524
875,523
876,523
876,522
877,522
877,519
878,519
878,518
880,518
880,517
881,517
881,514
880,514
880,513
878,513
878,512
875,512
875,515
874,515
874,516
873,516
873,517
871,517
871,516
870,516
870,515
869,515
869,513
870,513
870,512
871,512
871,509
864,509
864,510
860,510
860,507
859,507
859,505
857,505
857,504
855,504
855,503
854,503
854,502
853,502
853,501
852,501
852,497
853,497
853,496
854,496
854,495
856,495
856,493
855,493
855,492
854,492
854,491
853,491
853,487
854,487
854,486
855,486
855,485
856,485
856,484
857,484
857,483
859,483
859,482
861,482
861,481
865,481
865,482
868,482
868,483
869,483
869,484
870,484
870,485
871,485
871,487
872,487
872,488
873,488
873,491
871,491
871,492
870,492
870,494
871,494
871,495
873,495
873,496
874,496
874,497
875,497
875,498
876,498
876,500
877,500
877,502
878,502
878,504
879,504
879,506
880,506
880,508
882,508
882,506
881,506
881,498
882,498
882,497
883,497
883,496
884,496
884,495
885,495
885,494
878,494
878,493
877,493
877,492
876,492
876,490
875,490
875,488
874,488
874,486
873,486
873,484
874,484
874,483
878,483
878,484
879,484
879,483
881,483
881,482
882,482
882,481
884,481
884,480
891,480
891,481
892,481
892,482
893,482
893,483
894,483
894,493
892,493
892,495
898,495
898,494
900,494
900,493
901,493
901,492
902,492
902,491
909,491
909,490
910,490
910,488
914,488
914,489
915,489
915,488
917,488
917,487
918,487
918,485
919,485
919,484
921,484
921,485
922,485
922,486
923,486
923,487
924,487
924,488
925,488
925,489
928,489
928,483
927,483
927,479
926,479
926,477
925,477
925,475
924,475
924,472
929,472
