X,Y
838,1320
839,1320
839,1322
840,1322
840,1323
841,1323
841,1324
844,1324
844,1326
843,1326
843,1327
842,1327
842,1328
841,1328
841,1329
840,1329
840,1330
839,1330
839,1331
838,1331
838,1333
839,1333
839,1334
841,1334
841,1335
842,1335
842,1336
843,1336
843,1337
844,1337
844,1338
845,1338
845,1340
844,1340
844,1342
846,1342
846,1341
847,1341
847,1339
848,1339
848,1337
847,1337
847,1336
846,1336
846,1335
845,1335
845,1334
844,1334
844,1332
845,1332
845,1331
846,1331
846,1330
852,1330
852,1335
853,1335
853,1337
856,1337
856,1336
858,1336
858,1335
859,1335
859,1334
865,1334
865,1335
869,1335
869,1336
870,1336
870,1337
872,1337
872,1338
873,1338
873,1339
874,1339
874,1340
875,1340
875,1345
876,1345
876,1347
877,1347
877,1348
879,1348
879,1349
880,1349
880,1346
879,1346
879,1345
878,1345
878,1344
877,1344
877,1339
878,1339
878,1338
881,1338
881,1340
882,1340
882,1342
883,1342
883,1343
886,1343
886,1342
889,1342
889,1343
890,1343
890,1344
891,1344
891,1345
892,1345
892,1351
888,1351
888,1350
885,1350
885,1352
888,1352
888,1353
889,1353
889,1354
890,1354
890,1355
891,1355
891,1356
892,1356
892,1357
893,1357
893,1358
895,1358
895,1359
897,1359
897,1360
902,1360
902,1361
903,1361
903,1362
904,1362
904,1363
905,1363
905,1366
903,1366
903,1368
904,1368
904,1367
906,1367
906,1366
907,1366
907,1361
910,1361
910,1362
911,1362
911,1363
912,1363
912,1364
914,1364
914,1365
916,1365
916,1366
917,1366
917,1367
918,1367
918,1368
919,1368
919,1369
920,1369
920,1376
921,1376
921,1378
922,1378
922,1381
921,1381
921,1382
920,1382
920,1383
916,1383
916,1382
914,1382
914,1381
912,1381
912,1380
910,1380
910,1379
908,1379
908,1378
906,1378
906,1377
905,1377
905,1378
904,1378
904,1380
903,1380
903,1381
904,1381
904,1383
905,1383
905,1385
906,1385
906,1388
907,1388
907,1389
910,1389
910,1388
911,1388
911,1387
912,1387
912,1386
916,1386
916,1387
918,1387
918,1388
921,1388
921,1389
926,1389
926,1388
925,1388
925,1386
924,1386
924,1376
925,1376
925,1375
926,1375
926,1374
927,1374
927,1373
931,1373
931,1372
932,1372
932,1371
933,1371
933,1370
935,1370
935,1369
937,1369
937,1368
939,1368
939,1360
940,1360
940,1359
942,1359
942,1362
943,1362
943,1364
944,1364
944,1366
945,1366
945,1372
944,1372
944,1373
943,1373
943,1375
942,1375
942,1378
943,1378
943,1380
945,1380
945,1381
946,1381
946,1380
947,1380
947,1379
946,1379
946,1374
947,1374
947,1373
950,1373
950,1374
951,1374
951,1378
952,1378
952,1379
958,1379
958,1383
959,1383
959,1384
960,1384
960,1385
962,1385
962,1386
963,1386
963,1387
964,1387
964,1388
965,1388
965,1391
964,1391
964,1392
962,1392
962,1391
961,1391
961,1390
958,1390
958,1391
959,1391
959,1393
960,1393
960,1395
961,1395
961,1396
962,1396
962,1397
963,1397
963,1399
964,1399
964,1401
965,1401
965,1403
966,1403
966,1405
967,1405
967,1406
968,1406
968,1415
967,1415
967,1417
966,1417
966,1419
967,1419
967,1420
970,1420
970,1413
971,1413
971,1412
972,1412
972,1411
973,1411
973,1410
974,1410
974,1409
975,1409
975,1410
976,1410
976,1411
977,1411
977,1417
976,1417
976,1422
975,1422
975,1423
974,1423
974,1424
973,1424
973,1425
972,1425
972,1426
971,1426
971,1427
969,1427
969,1430
970,1430
970,1431
973,1431
973,1428
974,1428
974,1427
976,1427
976,1428
978,1428
978,1429
980,1429
980,1430
981,1430
981,1431
982,1431
982,1435
981,1435
981,1437
980,1437
980,1438
981,1438
981,1440
982,1440
982,1442
983,1442
983,1444
984,1444
984,1445
985,1445
985,1446
986,1446
986,1448
987,1448
987,1450
986,1450
986,1451
982,1451
982,1450
973,1450
973,1451
972,1451
972,1452
973,1452
973,1454
974,1454
974,1456
975,1456
975,1459
974,1459
974,1460
973,1460
973,1461
970,1461
970,1460
969,1460
969,1461
968,1461
968,1464
967,1464
967,1465
965,1465
965,1464
963,1464
963,1466
964,1466
964,1468
965,1468
965,1469
966,1469
966,1468
968,1468
968,1467
969,1467
969,1466
970,1466
970,1467
971,1467
971,1468
972,1468
972,1473
971,1473
