X,Y
886,626
888,626
888,627
890,627
890,628
894,628
894,629
902,629
902,630
904,630
904,629
906,629
906,628
907,628
907,627
908,627
908,626
909,626
909,625
912,625
912,626
913,626
913,627
914,627
914,629
913,629
913,631
912,631
912,632
911,632
911,633
910,633
910,635
909,635
909,637
910,637
910,639
911,639
911,640
912,640
912,641
913,641
913,643
914,643
914,644
915,644
915,645
916,645
916,646
917,646
917,647
918,647
918,648
919,648
919,650
918,650
918,651
917,651
917,652
916,652
916,653
915,653
915,654
914,654
914,657
918,657
918,658
920,658
920,659
922,659
922,660
932,660
932,661
933,661
933,663
932,663
932,666
933,666
933,667
934,667
934,668
935,668
935,669
936,669
936,670
937,670
937,673
936,673
936,674
934,674
934,675
933,675
933,676
934,676
934,677
936,677
936,678
937,678
937,679
938,679
938,685
944,685
944,686
945,686
945,687
946,687
946,688
947,688
947,690
948,690
948,691
949,691
949,692
950,692
950,693
951,693
951,694
952,694
952,695
954,695
954,696
956,696
956,697
958,697
958,698
962,698
962,699
963,699
963,700
964,700
964,701
966,701
966,702
967,702
967,703
968,703
968,704
969,704
969,705
970,705
970,706
971,706
971,710
970,710
970,712
969,712
969,714
968,714
968,717
967,717
967,718
966,718
966,719
964,719
964,715
965,715
965,709
964,709
964,708
962,708
962,709
959,709
959,708
957,708
957,707
955,707
955,706
953,706
953,705
949,705
949,704
944,704
944,705
942,705
942,708
943,708
943,711
942,711
942,712
941,712
941,713
940,713
940,714
938,714
938,715
937,715
937,717
936,717
936,719
935,719
935,720
934,720
934,721
933,721
933,722
931,722
931,723
926,723
926,722
925,722
925,721
924,721
924,718
925,718
925,717
926,717
926,716
927,716
927,713
926,713
926,712
925,712
925,711
923,711
923,710
920,710
920,709
919,709
919,708
917,708
917,707
915,707
915,709
916,709
916,712
917,712
917,715
918,715
918,717
919,717
919,719
920,719
920,720
921,720
921,722
920,722
920,723
919,723
919,724
911,724
911,723
910,723
910,719
909,719
909,717
908,717
908,715
907,715
907,714
905,714
905,715
899,715
899,714
898,714
898,715
896,715
896,716
894,716
894,717
891,717
891,716
890,716
890,713
891,713
891,712
892,712
892,711
893,711
893,710
894,710
894,709
898,709
898,708
901,708
901,706
900,706
900,705
899,705
899,699
896,699
896,700
884,700
884,699
880,699
880,698
876,698
876,697
875,697
875,696
874,696
874,695
873,695
873,694
872,694
872,690
873,690
873,689
880,689
880,690
882,690
882,689
883,689
883,688
882,688
882,687
874,687
874,686
873,686
873,685
872,685
872,684
871,684
871,683
870,683
870,682
869,682
869,681
868,681
868,680
867,680
867,679
866,679
866,676
865,676
865,675
860,675
860,674
856,674
856,673
855,673
855,670
854,670
854,668
853,668
853,667
852,667
852,668
851,668
851,672
850,672
850,674
849,674
849,675
848,675
848,676
847,676
847,677
843,677
843,676
842,676
842,675
841,675
841,674
840,674
840,673
839,673
839,671
838,671
838,670
837,670
837,669
836,669
836,668
835,668
835,666
836,666
836,665
837,665
837,664
841,664
841,665
842,665
842,662
841,662
841,661
839,661
839,660
837,660
837,659
831,659
831,658
830,658
830,657
829,657
829,656
828,656
828,654
827,654
827,652
826,652
826,649
827,649
827,648
829,648
829,649
831,649
831,650
836,650
836,649
838,649
838,648
840,648
840,647
844,647
844,646
845,646
845,645
846,645
846,644
847,644
847,643
848,643
848,642
849,642
849,641
850,641
850,640
853,640
853,639
854,639
854,638
853,638
853,636
852,636
852,634
853,634
853,633
860,633
860,632
862,632
862,631
864,631
864,630
868,630
868,631
870,631
870,630
872,630
872,629
877,629
877,630
878,630
878,629
879,629
879,627
880,627
880,626
881,626
881,625
886,625
