X,Y
455,694
456,694
456,696
457,696
457,697
458,697
458,698
461,698
461,699
464,699
464,700
465,700
465,701
466,701
466,702
467,702
467,703
469,703
469,704
471,704
471,705
473,705
473,706
475,706
475,707
477,707
477,708
483,708
483,709
506,709
506,708
517,708
517,709
519,709
519,710
522,710
522,711
524,711
524,712
525,712
525,713
526,713
526,714
527,714
527,715
528,715
528,721
527,721
527,722
526,722
526,723
525,723
525,725
524,725
524,727
523,727
523,729
522,729
522,731
523,731
523,732
526,732
526,731
530,731
530,730
539,730
539,731
540,731
540,730
542,730
542,729
544,729
544,728
546,728
546,727
560,727
560,728
563,728
563,729
564,729
564,730
565,730
565,736
566,736
566,737
568,737
568,738
570,738
570,737
572,737
572,736
573,736
573,734
574,734
574,733
573,733
573,727
574,727
574,726
575,726
575,725
576,725
576,724
577,724
577,723
584,723
584,724
587,724
587,725
588,725
588,726
589,726
589,731
588,731
588,732
587,732
587,733
586,733
586,734
583,734
583,735
581,735
581,736
579,736
579,737
578,737
578,738
577,738
577,739
576,739
576,740
575,740
575,741
574,741
574,742
573,742
573,743
574,743
574,744
576,744
576,745
579,745
579,746
581,746
581,747
585,747
585,746
587,746
587,745
588,745
588,744
589,744
589,743
592,743
592,744
593,744
593,745
594,745
594,746
595,746
595,747
596,747
596,748
597,748
597,750
598,750
598,752
600,752
600,753
602,753
602,754
604,754
604,755
608,755
608,756
611,756
611,757
613,757
613,758
616,758
616,759
618,759
618,760
620,760
620,761
623,761
623,762
624,762
624,763
625,763
625,764
627,764
627,765
628,765
628,766
630,766
630,767
631,767
631,768
632,768
632,769
633,769
633,770
634,770
634,771
635,771
635,772
636,772
636,773
637,773
637,774
638,774
638,775
639,775
639,777
640,777
640,778
641,778
641,779
642,779
642,780
643,780
643,781
644,781
644,782
645,782
645,783
646,783
646,784
647,784
647,785
648,785
648,787
649,787
649,788
650,788
650,789
651,789
651,791
652,791
652,792
653,792
653,793
654,793
654,794
655,794
655,795
656,795
656,797
657,797
657,799
658,799
658,800
659,800
659,801
660,801
660,803
661,803
661,804
662,804
662,805
663,805
663,806
664,806
664,807
665,807
665,808
666,808
666,809
667,809
667,810
668,810
668,811
669,811
669,812
671,812
671,813
673,813
673,814
675,814
675,815
677,815
677,814
681,814
681,813
683,813
683,812
685,812
685,811
687,811
687,810
696,810
696,811
698,811
698,812
699,812
699,813
701,813
701,814
703,814
703,815
715,815
715,816
717,816
717,817
719,817
719,818
720,818
720,819
722,819
722,820
724,820
724,821
729,821
729,822
730,822
730,823
731,823
731,824
732,824
732,825
733,825
733,826
734,826
734,827
735,827
735,828
736,828
736,829
737,829
737,831
738,831
738,832
739,832
739,834
740,834
740,835
742,835
742,836
743,836
743,837
744,837
744,838
745,838
745,839
746,839
746,840
747,840
747,841
748,841
748,842
750,842
750,843
751,843
751,844
752,844
752,845
753,845
753,846
754,846
754,847
756,847
756,848
758,848
758,849
759,849
759,850
760,850
760,851
762,851
762,852
763,852
763,853
764,853
764,854
765,854
765,855
766,855
766,857
767,857
767,859
768,859
768,860
769,860
769,859
773,859
773,860
774,860
774,861
776,861
776,862
777,862
777,863
779,863
779,864
781,864
781,865
783,865
783,866
788,866
788,867
789,867
789,868
790,868
790,872
789,872
789,873
788,873
788,874
787,874
787,875
784,875
784,874
783,874
783,873
782,873
782,872
781,872
781,871
780,871
780,872
779,872
779,873
778,873
778,874
775,874
775,875
773,875
773,876
769,876
769,875
768,875
768,874
767,874
767,873
766,873
766,872
765,872
765,870
764,870
764,869
763,869
763,870
762,870
762,871
761,871
761,872
757,872
757,871
756,871
756,868
754,868
754,869
753,869
753,870
752,870
752,871
749,871
749,870
747,870
747,869
745,869
745,868
743,868
743,867
738,867
738,866
736,866
736,865
734,865
734,864
732,864
732,871
731,871
731,872
730,872
730,873
729,873
729,874
727,874
727,873
726,873
726,872
725,872
725,870
723,870
723,871
722,871
722,872
721,872
721,874
720,874
720,876
719,876
719,879
721,879
721,880
722,880
722,881
723,881
723,882
724,882
724,883
725,883
725,884
726,884
726,889
727,889
727,890
730,890
730,891
731,891
731,892
732,892
732,893
735,893
735,892
737,892
737,891
739,891
739,890
740,890
740,888
741,888
741,886
742,886
742,885
745,885
745,886
746,886
746,887
747,887
747,888
748,888
748,889
749,889
749,890
750,890
750,892
749,892
749,893
746,893
746,895
747,895
747,896
748,896
748,897
749,897
749,899
748,899
748,900
746,900
746,901
744,901
744,902
742,902
742,903
736,903
736,904
734,904
734,905
732,905
732,906
728,906
728,905
727,905
727,904
726,904
726,903
724,903
724,905
725,905
725,907
726,907
726,911
729,911
729,910
730,910
730,909
731,909
731,908
732,908
732,907
734,907
734,906
737,906
737,907
738,907
738,910
737,910
737,911
736,911
736,912
735,912
735,913
733,913
733,914
731,914
731,915
730,915
730,916
729,916
729,917
728,917
728,918
727,918
727,920
726,920
726,922
725,922
725,924
724,924
724,930
723,930
723,931
721,931
721,932
720,932
720,933
719,933
719,935
718,935
718,936
717,936
717,937
714,937
714,936
713,936
713,924
712,924
712,922
711,922
711,921
709,921
709,922
708,922
708,923
704,923
704,922
703,922
703,921
702,921
702,920
701,920
701,919
700,919
700,918
699,918
699,917
698,917
698,918
697,918
697,923
696,923
696,924
695,924
695,926
694,926
694,927
693,927
693,928
691,928
691,929
689,929
689,930
685,930
685,929
684,929
684,927
683,927
683,925
682,925
682,924
681,924
681,925
679,925
679,926
670,926
670,925
668,925
668,924
667,924
667,925
666,925
666,926
667,926
667,928
668,928
668,929
669,929
669,930
670,930
670,931
671,931
671,932
672,932
672,933
673,933
673,934
674,934
674,935
675,935
675,936
676,936
676,937
677,937
677,938
678,938
678,940
677,940
677,941
675,941
675,940
673,940
673,939
671,939
671,938
667,938
667,940
666,940
666,941
665,941
665,942
664,942
664,943
663,943
663,944
661,944
661,945
660,945
660,949
659,949
659,950
658,950
658,951
657,951
657,952
655,952
655,953
650,953
650,952
649,952
649,953
648,953
648,955
647,955
647,956
646,956
646,957
645,957
645,958
644,958
644,959
643,959
643,966
642,966
642,967
641,967
641,968
640,968
640,969
639,969
639,970
637,970
637,972
636,972
636,973
637,973
637,975
638,975
638,976
639,976
639,977
640,977
640,978
641,978
641,979
643,979
643,980
649,980
649,981
650,981
650,984
649,984
649,985
648,985
648,986
647,986
647,987
641,987
641,986
640,986
640,985
639,985
639,984
637,984
637,990
636,990
636,994
637,994
637,996
638,996
638,998
639,998
639,1000
638,1000
638,1001
637,1001
637,1003
636,1003
636,1007
637,1007
637,1008
638,1008
638,1009
639,1009
639,1011
638,1011
638,1012
634,1012
634,1013
633,1013
633,1016
634,1016
634,1018
636,1018
636,1019
637,1019
637,1020
638,1020
638,1021
639,1021
639,1022
638,1022
638,1023
631,1023
631,1022
629,1022
629,1021
628,1021
628,1022
625,1022
625,1024
626,1024
626,1025
627,1025
627,1026
628,1026
628,1029
627,1029
627,1031
626,1031
626,1033
627,1033
627,1032
628,1032
628,1031
629,1031
629,1030
630,1030
630,1029
631,1029
631,1028
634,1028
634,1029
636,1029
636,1030
637,1030
637,1031
638,1031
638,1033
637,1033
637,1034
636,1034
636,1035
632,1035
632,1036
630,1036
630,1037
629,1037
629,1038
628,1038
628,1039
627,1039
627,1040
625,1040
625,1041
623,1041
623,1044
629,1044
629,1045
630,1045
630,1046
631,1046
631,1048
632,1048
632,1050
633,1050
633,1061
632,1061
632,1062
631,1062
631,1063
630,1063
630,1064
629,1064
629,1065
628,1065
628,1066
627,1066
627,1067
622,1067
622,1066
621,1066
621,1067
619,1067
619,1068
617,1068
617,1069
616,1069
616,1071
617,1071
617,1072
624,1072
624,1073
626,1073
626,1072
628,1072
628,1071
630,1071
630,1070
631,1070
631,1069
642,1069
642,1071
641,1071
641,1076
642,1076
642,1077
643,1077
643,1078
646,1078
646,1081
647,1081
647,1082
649,1082
649,1081
652,1081
652,1082
653,1082
653,1083
654,1083
654,1084
655,1084
655,1085
656,1085
656,1086
657,1086
657,1087
658,1087
658,1089
659,1089
659,1091
660,1091
660,1092
661,1092
661,1093
662,1093
662,1096
661,1096
661,1097
660,1097
660,1096
658,1096
658,1095
655,1095
655,1098
657,1098
657,1099
659,1099
659,1100
660,1100
660,1101
661,1101
661,1104
662,1104
662,1106
663,1106
663,1108
664,1108
664,1110
665,1110
665,1111
666,1111
666,1112
668,1112
668,1113
672,1113
672,1114
673,1114
673,1119
671,1119
671,1118
669,1118
669,1117
667,1117
667,1116
665,1116
665,1115
664,1115
664,1114
662,1114
662,1113
658,1113
658,1114
656,1114
656,1115
654,1115
654,1116
650,1116
650,1115
647,1115
647,1116
646,1116
646,1117
645,1117
645,1118
643,1118
643,1117
642,1117
642,1116
641,1116
641,1115
640,1115
640,1111
641,1111
641,1109
642,1109
642,1108
641,1108
641,1107
640,1107
640,1108
639,1108
639,1109
638,1109
638,1110
637,1110
637,1111
635,1111
635,1110
634,1110
634,1109
633,1109
633,1108
632,1108
632,1106
631,1106
631,1105
629,1105
629,1104
