X,Y
439,1102
440,1102
440,1103
441,1103
441,1109
442,1109
442,1112
443,1112
443,1114
444,1114
444,1116
445,1116
445,1118
446,1118
446,1120
447,1120
447,1121
448,1121
448,1122
450,1122
450,1123
451,1123
451,1124
452,1124
452,1130
453,1130
453,1132
454,1132
454,1133
455,1133
455,1136
454,1136
454,1137
453,1137
453,1139
455,1139
455,1138
457,1138
457,1137
463,1137
463,1138
469,1138
469,1139
471,1139
471,1140
474,1140
474,1139
475,1139
475,1138
474,1138
474,1134
475,1134
475,1133
478,1133
478,1134
480,1134
480,1135
481,1135
481,1136
482,1136
482,1137
484,1137
484,1138
486,1138
486,1139
490,1139
490,1140
492,1140
492,1139
494,1139
494,1135
493,1135
493,1133
492,1133
492,1131
491,1131
491,1130
490,1130
490,1129
489,1129
489,1127
488,1127
488,1124
489,1124
489,1123
490,1123
490,1122
493,1122
493,1125
500,1125
500,1126
501,1126
501,1127
502,1127
502,1128
503,1128
503,1133
509,1133
509,1134
511,1134
511,1135
513,1135
513,1133
512,1133
512,1132
510,1132
510,1131
508,1131
508,1130
507,1130
507,1123
506,1123
506,1122
505,1122
505,1121
499,1121
499,1120
498,1120
498,1119
497,1119
497,1117
496,1117
496,1115
495,1115
495,1114
494,1114
494,1111
495,1111
495,1110
497,1110
497,1111
498,1111
498,1112
499,1112
499,1113
500,1113
500,1114
501,1114
501,1115
502,1115
502,1116
506,1116
506,1117
507,1117
507,1118
508,1118
508,1119
509,1119
509,1120
511,1120
511,1121
512,1121
512,1122
513,1122
513,1123
514,1123
514,1124
516,1124
516,1125
517,1125
517,1124
521,1124
521,1125
522,1125
522,1127
523,1127
523,1129
524,1129
524,1133
522,1133
522,1135
525,1135
525,1136
526,1136
526,1142
525,1142
525,1143
524,1143
524,1145
523,1145
523,1146
525,1146
525,1145
526,1145
526,1144
527,1144
527,1143
533,1143
533,1144
534,1144
534,1143
536,1143
536,1142
537,1142
537,1141
536,1141
536,1139
535,1139
535,1137
534,1137
534,1135
533,1135
533,1133
534,1133
534,1132
535,1132
535,1131
538,1131
538,1132
539,1132
539,1133
541,1133
541,1134
543,1134
543,1135
545,1135
545,1136
547,1136
547,1137
552,1137
552,1136
561,1136
561,1137
564,1137
564,1138
566,1138
566,1139
568,1139
568,1140
571,1140
571,1141
572,1141
572,1142
573,1142
573,1145
569,1145
569,1147
574,1147
574,1146
577,1146
577,1147
578,1147
578,1148
579,1148
579,1149
580,1149
580,1154
581,1154
581,1156
583,1156
583,1157
585,1157
585,1158
588,1158
588,1159
590,1159
590,1160
594,1160
594,1159
596,1159
596,1158
607,1158
607,1159
608,1159
608,1160
609,1160
609,1162
610,1162
610,1163
611,1163
611,1164
612,1164
612,1165
613,1165
613,1166
614,1166
614,1172
615,1172
615,1173
617,1173
617,1169
618,1169
618,1168
619,1168
619,1169
620,1169
620,1173
621,1173
621,1175
622,1175
622,1177
623,1177
623,1179
624,1179
624,1180
625,1180
625,1182
624,1182
624,1183
623,1183
623,1184
622,1184
622,1185
621,1185
621,1186
622,1186
622,1192
621,1192
621,1193
622,1193
622,1194
624,1194
624,1195
625,1195
625,1196
626,1196
626,1197
627,1197
627,1198
628,1198
628,1201
627,1201
627,1202
626,1202
626,1203
625,1203
625,1204
624,1204
624,1205
621,1205
621,1204
619,1204
619,1206
620,1206
620,1207
623,1207
623,1206
625,1206
625,1205
628,1205
628,1206
629,1206
629,1211
628,1211
628,1212
627,1212
627,1213
624,1213
624,1214
617,1214
617,1215
614,1215
614,1216
612,1216
612,1217
611,1217
611,1218
612,1218
612,1219
619,1219
619,1220
627,1220
627,1221
628,1221
628,1222
629,1222
629,1223
630,1223
630,1224
631,1224
631,1227
630,1227
630,1229
629,1229
629,1231
628,1231
628,1233
627,1233
627,1234
