X,Y
990,808
991,808
991,809
992,809
992,810
993,810
993,811
994,811
994,812
995,812
995,814
994,814
994,815
992,815
992,816
990,816
990,820
991,820
991,821
993,821
993,822
995,822
995,823
996,823
996,824
997,824
997,825
998,825
998,826
999,826
999,827
1001,827
1001,828
1002,828
1002,829
1003,829
1003,830
1004,830
1004,835
1005,835
1005,837
1006,837
1006,838
1007,838
1007,839
1013,839
1013,840
1014,840
1014,845
1013,845
1013,850
1016,850
1016,849
1017,849
1017,848
1018,848
1018,847
1019,847
1019,846
1025,846
1025,847
1026,847
1026,848
1027,848
1027,852
1026,852
1026,853
1025,853
1025,854
1024,854
1024,855
1015,855
1015,856
1014,856
1014,858
1015,858
1015,865
1016,865
1016,867
1018,867
1018,866
1019,866
1019,865
1020,865
1020,864
1028,864
1028,866
1027,866
1027,867
1026,867
1026,868
1025,868
1025,873
1024,873
1024,874
1017,874
1017,873
1016,873
1016,872
1014,872
1014,871
1013,871
1013,870
1011,870
1011,869
1009,869
1009,868
1007,868
1007,867
1005,867
1005,866
1003,866
1003,867
1001,867
1001,868
1000,868
1000,869
999,869
999,871
998,871
998,873
997,873
997,881
996,881
996,882
1002,882
1002,883
1003,883
1003,884
1004,884
1004,887
1003,887
1003,888
999,888
999,887
998,887
998,886
997,886
997,885
996,885
996,884
994,884
994,885
993,885
993,886
992,886
992,887
991,887
991,888
987,888
987,887
986,887
986,886
985,886
985,885
984,885
984,884
983,884
983,882
982,882
982,881
980,881
980,884
979,884
979,885
978,885
978,886
977,886
977,887
976,887
976,888
975,888
975,889
974,889
974,890
973,890
973,891
970,891
970,890
962,890
962,889
961,889
961,890
956,890
956,889
955,889
955,888
954,888
954,887
953,887
953,886
952,886
952,885
951,885
951,884
950,884
950,886
951,886
951,888
952,888
952,890
953,890
953,892
954,892
954,896
955,896
955,898
956,898
956,900
958,900
958,901
959,901
959,900
964,900
964,901
965,901
965,905
964,905
964,906
963,906
963,907
962,907
962,908
961,908
961,909
958,909
958,908
957,908
957,907
956,907
956,906
955,906
955,905
954,905
954,904
953,904
953,902
952,902
952,901
951,901
951,899
950,899
950,898
948,898
948,899
946,899
946,900
945,900
945,901
944,901
944,902
941,902
941,896
940,896
940,894
937,894
937,895
931,895
931,896
929,896
929,897
917,897
917,896
915,896
915,895
913,895
913,894
911,894
911,893
909,893
909,892
907,892
907,891
905,891
905,890
904,890
904,889
903,889
903,887
904,887
904,886
905,886
905,885
907,885
907,883
903,883
903,882
902,882
902,881
901,881
901,880
900,880
900,879
899,879
899,878
896,878
896,877
895,877
895,876
894,876
894,872
893,872
893,865
894,865
894,862
893,862
893,861
892,861
892,860
891,860
891,859
890,859
890,858
889,858
889,853
888,853
888,852
885,852
885,853
883,853
883,854
882,854
882,855
880,855
880,847
881,847
881,846
882,846
882,844
883,844
883,842
884,842
884,841
885,841
885,840
888,840
888,841
889,841
889,842
892,842
892,841
893,841
893,840
894,840
894,839
895,839
895,838
896,838
896,837
897,837
897,836
898,836
898,835
900,835
900,834
905,834
905,837
906,837
906,839
909,839
909,838
911,838
911,837
912,837
912,834
911,834
911,832
910,832
910,827
911,827
911,826
916,826
916,827
926,827
926,828
925,828
925,829
924,829
924,830
923,830
923,832
925,832
925,831
926,831
926,829
927,829
927,828
930,828
930,829
931,829
931,830
932,830
932,831
933,831
933,832
934,832
934,833
935,833
935,836
934,836
934,838
933,838
933,839
934,839
934,841
935,841
935,842
936,842
936,841
938,841
938,840
939,840
939,838
940,838
940,837
939,837
939,829
940,829
940,827
941,827
941,825
942,825
942,824
943,824
943,823
944,823
944,822
945,822
945,821
947,821
947,822
948,822
948,824
947,824
947,826
946,826
946,828
945,828
945,837
947,837
947,836
948,836
948,827
949,827
949,826
950,826
950,825
951,825
951,824
952,824
952,823
956,823
956,824
957,824
957,825
958,825
958,827
959,827
959,828
960,828
960,827
961,827
961,825
962,825
962,824
964,824
964,823
965,823
965,822
966,822
966,821
965,821
965,820
964,820
964,819
963,819
963,818
962,818
962,817
961,817
961,814
962,814
962,813
966,813
966,814
967,814
967,815
969,815
969,816
970,816
970,817
971,817
971,818
973,818
973,813
974,813
974,812
975,812
975,811
978,811
978,812
982,812
982,811
984,811
984,810
986,810
986,809
988,809
988,808
989,808
989,807
990,807
