X,Y
1335,507
1336,507
1336,508
1337,508
1337,511
1336,511
1336,512
1335,512
1335,514
1337,514
1337,512
1338,512
1338,510
1339,510
1339,509
1340,509
1340,508
1341,508
1341,507
1343,507
1343,509
1344,509
1344,510
1346,510
1346,511
1347,511
1347,512
1348,512
1348,516
1344,516
1344,515
1340,515
1340,516
1339,516
1339,518
1338,518
1338,520
1337,520
1337,521
1336,521
1336,522
1335,522
1335,524
1337,524
1337,523
1338,523
1338,522
1340,522
1340,529
1341,529
1341,531
1342,531
1342,533
1343,533
1343,536
1342,536
1342,539
1344,539
1344,537
1345,537
1345,530
1346,530
1346,527
1345,527
1345,525
1344,525
1344,522
1345,522
1345,521
1348,521
1348,520
1350,520
1350,519
1352,519
1352,518
1353,518
1353,517
1355,517
1355,518
1356,518
1356,519
1357,519
1357,529
1358,529
1358,531
1359,531
1359,532
1360,532
1360,534
1361,534
1361,537
1356,537
1356,536
1353,536
1353,539
1354,539
1354,544
1353,544
1353,546
1352,546
1352,548
1351,548
1351,552
1350,552
1350,558
1351,558
1351,560
1352,560
1352,561
1353,561
1353,560
1354,560
1354,558
1355,558
1355,549
1354,549
1354,545
1355,545
1355,544
1356,544
1356,543
1357,543
1357,542
1360,542
1360,543
1361,543
1361,544
1362,544
1362,546
1363,546
1363,547
1365,547
1365,548
1367,548
1367,549
1369,549
1369,550
1371,550
1371,551
1372,551
1372,553
1374,553
1374,551
1375,551
1375,549
1376,549
1376,548
1377,548
1377,547
1379,547
1379,546
1381,546
1381,544
1382,544
1382,541
1383,541
1383,537
1382,537
1382,535
1381,535
1381,534
1380,534
1380,533
1378,533
1378,532
1376,532
1376,531
1374,531
1374,530
1372,530
1372,529
1370,529
1370,523
1371,523
1371,522
1372,522
1372,521
1373,521
1373,520
1377,520
1377,521
1378,521
1378,522
1380,522
1380,523
1382,523
1382,524
1384,524
1384,525
1386,525
1386,526
1387,526
1387,527
1388,527
1388,528
1389,528
1389,529
1390,529
1390,530
1391,530
1391,531
1392,531
1392,532
1393,532
1393,531
1394,531
1394,529
1395,529
1395,526
1394,526
1394,524
1393,524
1393,520
1396,520
1396,519
1402,519
1402,517
1400,517
1400,516
1399,516
1399,515
1400,515
1400,514
1401,514
1401,513
1403,513
1403,512
1405,512
1405,511
1410,511
1410,512
1411,512
1411,515
1410,515
1410,517
1409,517
1409,522
1408,522
1408,523
1407,523
1407,524
1405,524
1405,525
1404,525
1404,526
1403,526
1403,531
1404,531
1404,533
1405,533
1405,534
1406,534
1406,536
1407,536
1407,539
1408,539
1408,542
1409,542
1409,544
1410,544
1410,545
1411,545
1411,546
1412,546
1412,547
1413,547
1413,548
1414,548
1414,552
1413,552
1413,554
1414,554
1414,555
1418,555
1418,556
1419,556
1419,555
1423,555
1423,556
1424,556
1424,557
1425,557
1425,559
1427,559
1427,557
1428,557
1428,553
1427,553
1427,551
1426,551
1426,550
1425,550
1425,548
1424,548
1424,545
1425,545
1425,544
1429,544
1429,545
1431,545
1431,546
1433,546
1433,547
1434,547
1434,546
1436,546
1436,545
1438,545
1438,544
1440,544
1440,542
1441,542
1441,539
1442,539
1442,538
1443,538
1443,537
1446,537
1446,538
1448,538
1448,539
1457,539
1457,540
1458,540
1458,541
1459,541
1459,542
1460,542
1460,543
1461,543
1461,549
1460,549
1460,551
1459,551
1459,553
1458,553
1458,554
1457,554
1457,555
1456,555
1456,556
1455,556
1455,557
1453,557
1453,556
1452,556
1452,555
1450,555
1450,559
1451,559
1451,560
1455,560
1455,564
1454,564
1454,565
1453,565
1453,566
1452,566
1452,567
1451,567
1451,568
1450,568
1450,569
1449,569
1449,570
1445,570
1445,569
1444,569
1444,568
1443,568
1443,566
1442,566
1442,565
1440,565
1440,567
1439,567
1439,572
1438,572
1438,578
1437,578
1437,579
1431,579
1431,580
1430,580
1430,582
1429,582
1429,584
1428,584
1428,586
1427,586
1427,587
1426,587
1426,588
1425,588
1425,589
1424,589
1424,590
1423,590
1423,591
1422,591
1422,594
1421,594
1421,595
1420,595
1420,596
1417,596
1417,597
1415,597
1415,598
1412,598
1412,597
1411,597
1411,596
1410,596
1410,595
1409,595
1409,593
1410,593
1410,591
1409,591
1409,592
1408,592
1408,594
1407,594
1407,596
1406,596
1406,598
1405,598
1405,600
1404,600
1404,601
1403,601
1403,602
1399,602
1399,601
1398,601
1398,603
1397,603
1397,604
1396,604
1396,603
1395,603
1395,602
1396,602
1396,601
1397,601
1397,600
1393,600
1393,601
1391,601
1391,602
1390,602
1390,603
1389,603
1389,604
1390,604
1390,606
1389,606
1389,607
1385,607
1385,606
1384,606
1384,605
1383,605
1383,604
1382,604
1382,603
1381,603
1381,602
1380,602
1380,603
1379,603
1379,605
1380,605
1380,607
1381,607
1381,614
1380,614
1380,616
1379,616
1379,617
1378,617
1378,618
1377,618
1377,619
1375,619
1375,620
1373,620
1373,621
1371,621
1371,620
1370,620
1370,619
1369,619
1369,616
1370,616
1370,615
1371,615
1371,614
1375,614
1375,612
1373,612
1373,611
1372,611
1372,607
1371,607
1371,609
1370,609
1370,612
1369,612
1369,613
1360,613
1360,614
1358,614
1358,615
1364,615
1364,616
1365,616
1365,618
1364,618
1364,619
1363,619
1363,620
1362,620
1362,621
1355,621
1355,620
1354,620
1354,618
1351,618
1351,619
1345,619
1345,620
1339,620
1339,619
1337,619
1337,618
1335,618
1335,617
1324,617
1324,619
1325,619
1325,621
1324,621
1324,622
1323,622
1323,623
1317,623
1317,622
1316,622
1316,620
1315,620
1315,619
1312,619
1312,620
1310,620
1310,621
1309,621
1309,622
1308,622
1308,623
1307,623
1307,624
1303,624
1303,625
1301,625
1301,626
1299,626
1299,627
1296,627
1296,628
1294,628
1294,629
1289,629
1289,630
1287,630
1287,631
1286,631
1286,632
1285,632
1285,633
1284,633
1284,634
1282,634
1282,635
1279,635
1279,634
1278,634
1278,633
1277,633
1277,632
1276,632
1276,631
1275,631
1275,628
1276,628
1276,627
1277,627
1277,626
1279,626
1279,624
1277,624
1277,625
1274,625
1274,624
1273,624
1273,623
1272,623
1272,622
1271,622
1271,619
1272,619
1272,617
1273,617
1273,615
1274,615
1274,614
1275,614
1275,613
1281,613
1281,614
1285,614
1285,615
1286,615
1286,616
1288,616
1288,617
1290,617
1290,618
1292,618
1292,619
1299,619
1299,618
1301,618
1301,617
1302,617
1302,615
1301,615
1301,614
1297,614
1297,613
1296,613
1296,611
1297,611
1297,610
1299,610
1299,609
1300,609
1300,607
1297,607
1297,608
1295,608
1295,609
1293,609
1293,610
1292,610
1292,613
1287,613
1287,612
1286,612
1286,608
1287,608
1287,607
1289,607
1289,606
1290,606
1290,605
1291,605
1291,604
1292,604
1292,603
1293,603
1293,599
1292,599
1292,598
1290,598
1290,599
1288,599
1288,600
1287,600
1287,601
1279,601
1279,600
1278,600
1278,599
1277,599
1277,598
1276,598
