X,Y
1324,423
1325,423
1325,424
1326,424
1326,431
1327,431
1327,433
1328,433
1328,434
1329,434
1329,435
1330,435
1330,436
1332,436
1332,437
1333,437
1333,438
1334,438
1334,439
1335,439
1335,440
1336,440
1336,444
1337,444
1337,445
1339,445
1339,446
1347,446
1347,447
1348,447
1348,448
1349,448
1349,449
1350,449
1350,450
1352,450
1352,451
1353,451
1353,452
1354,452
1354,453
1355,453
1355,454
1356,454
1356,460
1357,460
1357,461
1363,461
1363,462
1369,462
1369,463
1372,463
1372,464
1373,464
1373,465
1374,465
1374,466
1375,466
1375,467
1376,467
1376,468
1377,468
1377,469
1378,469
1378,470
1379,470
1379,471
1381,471
1381,472
1385,472
1385,473
1386,473
1386,475
1387,475
1387,477
1388,477
1388,479
1389,479
1389,480
1391,480
1391,481
1393,481
1393,479
1392,479
1392,477
1391,477
1391,476
1390,476
1390,475
1389,475
1389,473
1390,473
1390,472
1397,472
1397,473
1398,473
1398,474
1399,474
1399,475
1401,475
1401,476
1403,476
1403,477
1406,477
1406,478
1408,478
1408,479
1409,479
1409,480
1410,480
1410,481
1411,481
1411,482
1412,482
1412,483
1414,483
1414,484
1416,484
1416,485
1421,485
1421,486
1423,486
1423,487
1428,487
1428,488
1429,488
1429,489
1430,489
1430,492
1429,492
1429,493
1424,493
1424,492
1414,492
1414,494
1413,494
1413,496
1412,496
1412,501
1411,501
1411,502
1406,502
1406,503
1404,503
1404,504
1401,504
1401,503
1400,503
1400,502
1399,502
1399,501
1397,501
1397,500
1395,500
1395,499
1393,499
1393,498
1391,498
1391,497
1390,497
1390,498
1388,498
1388,499
1387,499
1387,500
1383,500
1383,501
1381,501
1381,502
1379,502
1379,503
1378,503
1378,504
1376,504
1376,505
1375,505
1375,506
1376,506
1376,508
1375,508
1375,509
1369,509
1369,508
1367,508
1367,507
1366,507
1366,508
1365,508
1365,509
1364,509
1364,512
1363,512
1363,513
1361,513
1361,512
1360,512
1360,511
1359,511
1359,510
1358,510
1358,509
1357,509
1357,508
1356,508
1356,507
1355,507
1355,506
1354,506
1354,504
1353,504
1353,498
1352,498
1352,497
1350,497
1350,498
1349,498
1349,499
1348,499
1348,500
1345,500
1345,499
1344,499
1344,498
1343,498
1343,495
1344,495
1344,494
1345,494
1345,493
1346,493
1346,492
1347,492
1347,491
1348,491
1348,489
1349,489
1349,486
1347,486
1347,487
1346,487
1346,488
1345,488
1345,489
1344,489
1344,490
1343,490
1343,491
1338,491
1338,490
1337,490
1337,488
1338,488
1338,487
1339,487
1339,486
1340,486
1340,485
1341,485
1341,483
1342,483
1342,482
1344,482
1344,481
1345,481
1345,479
1342,479
1342,478
1339,478
1339,477
1337,477
1337,478
1335,478
1335,479
1334,479
1334,481
1338,481
1338,483
1337,483
1337,484
1336,484
1336,485
1335,485
1335,486
1334,486
1334,487
1333,487
1333,488
1332,488
1332,489
1331,489
1331,490
1330,490
1330,489
1329,489
1329,488
1327,488
1327,487
1325,487
1325,486
1322,486
1322,485
1321,485
1321,484
1320,484
1320,483
1319,483
1319,482
1318,482
1318,481
1317,481
1317,480
1316,480
1316,479
1315,479
1315,478
1313,478
1313,477
1312,477
1312,476
1311,476
1311,475
1310,475
1310,474
1309,474
1309,473
1308,473
1308,470
1307,470
1307,468
1306,468
1306,466
1305,466
1305,464
1304,464
1304,463
1303,463
1303,462
1301,462
1301,461
1299,461
1299,460
1298,460
1298,459
1297,459
1297,458
1296,458
1296,457
1295,457
1295,454
1296,454
1296,452
1297,452
1297,450
1298,450
1298,448
1299,448
1299,444
1305,444
1305,449
1304,449
1304,451
1303,451
1303,454
1302,454
1302,456
1301,456
1301,457
1302,457
1302,458
1311,458
1311,457
1313,457
1313,456
1314,456
1314,455
1315,455
1315,453
1316,453
1316,452
1317,452
1317,451
1318,451
1318,450
1320,450
1320,451
1321,451
1321,455
1320,455
1320,457
1319,457
1319,459
1320,459
1320,461
1321,461
1321,463
1322,463
1322,464
1323,464
1323,466
1324,466
1324,468
1325,468
1325,469
1326,469
1326,470
1327,470
1327,472
1328,472
1328,473
1330,473
1330,472
1332,472
1332,471
1333,471
1333,470
1334,470
1334,469
1335,469
1335,468
1336,468
1336,466
1337,466
1337,463
1338,463
1338,460
1337,460
1337,458
1336,458
1336,457
1335,457
1335,456
1334,456
1334,455
1333,455
1333,454
1332,454
1332,451
1331,451
1331,449
1330,449
1330,448
1328,448
1328,449
1327,449
1327,450
1326,450
1326,451
1324,451
1324,450
1323,450
1323,449
1321,449
1321,448
1319,448
1319,449
1312,449
1312,448
1311,448
1311,447
1310,447
1310,445
1311,445
1311,444
1312,444
1312,443
1314,443
1314,442
1316,442
1316,440
1317,440
1317,437
1316,437
1316,436
1313,436
1313,437
1312,437
1312,438
1311,438
1311,439
1310,439
1310,440
1309,440
1309,441
1308,441
1308,440
1307,440
1307,438
1308,438
1308,436
1309,436
1309,435
1308,435
1308,433
1307,433
1307,428
1308,428
1308,427
1312,427
1312,426
1314,426
1314,425
1320,425
1320,424
1321,424
1321,423
1322,423
1322,422
1324,422
