X,Y
1537,720
1540,720
1540,719
1546,719
1546,720
1548,720
1548,721
1550,721
1550,722
1554,722
1554,723
1563,723
1563,724
1571,724
1571,725
1572,725
1572,727
1571,727
1571,728
1570,728
1570,729
1569,729
1569,730
1568,730
1568,731
1567,731
1567,732
1566,732
1566,733
1565,733
1565,734
1564,734
1564,735
1563,735
1563,736
1562,736
1562,737
1561,737
1561,738
1560,738
1560,739
1559,739
1559,740
1558,740
1558,741
1557,741
1557,742
1556,742
1556,743
1555,743
1555,745
1554,745
1554,746
1553,746
1553,747
1552,747
1552,748
1549,748
1549,749
1547,749
1547,750
1544,750
1544,751
1543,751
1543,752
1542,752
1542,759
1541,759
1541,761
1540,761
1540,762
1537,762
1537,761
1536,761
1536,760
1535,760
1535,759
1534,759
1534,758
1533,758
1533,757
1532,757
1532,756
1528,756
1528,757
1526,757
1526,758
1525,758
1525,759
1524,759
1524,760
1523,760
1523,761
1521,761
1521,762
1519,762
1519,763
1518,763
1518,764
1517,764
1517,767
1518,767
1518,769
1519,769
1519,771
1520,771
1520,773
1521,773
1521,777
1520,777
1520,778
1519,778
1519,780
1518,780
1518,782
1517,782
1517,784
1516,784
1516,785
1515,785
1515,786
1514,786
1514,787
1510,787
1510,788
1508,788
1508,789
1507,789
1507,790
1506,790
1506,791
1505,791
1505,793
1504,793
1504,794
1503,794
1503,795
1502,795
1502,796
1501,796
1501,797
1498,797
1498,798
1496,798
1496,800
1495,800
1495,803
1494,803
1494,806
1493,806
1493,807
1489,807
1489,810
1490,810
1490,817
1489,817
1489,818
1488,818
1488,819
1487,819
1487,820
1482,820
1482,821
1480,821
1480,822
1479,822
1479,824
1478,824
1478,826
1477,826
1477,829
1478,829
1478,831
1479,831
1479,834
1478,834
1478,835
1474,835
1474,834
1473,834
1473,832
1472,832
1472,830
1471,830
1471,822
1469,822
1469,825
1468,825
1468,827
1469,827
1469,832
1468,832
1468,835
1470,835
1470,836
1471,836
1471,837
1472,837
1472,840
1471,840
1471,842
1470,842
1470,844
1469,844
1469,845
1468,845
1468,846
1467,846
1467,847
1462,847
1462,846
1461,846
1461,845
1459,845
1459,844
1457,844
1457,846
1458,846
1458,851
1457,851
1457,852
1453,852
1453,853
1445,853
1445,854
1436,854
1436,853
1434,853
1434,852
1432,852
1432,853
1431,853
1431,854
1432,854
1432,856
1433,856
1433,860
1432,860
1432,861
1431,861
1431,862
1429,862
1429,863
1426,863
1426,864
1425,864
1425,865
1428,865
1428,864
1432,864
1432,865
1433,865
1433,868
1435,868
1435,867
1436,867
1436,866
1437,866
1437,865
1438,865
1438,864
1439,864
1439,863
1440,863
1440,861
1441,861
1441,860
1442,860
1442,859
1443,859
1443,858
1446,858
1446,859
1447,859
1447,864
1446,864
1446,866
1445,866
1445,868
1446,868
1446,870
1447,870
1447,878
1446,878
1446,879
1447,879
1447,881
1448,881
1448,882
1449,882
1449,883
1450,883
1450,884
1451,884
1451,894
1452,894
1452,903
1451,903
1451,904
1450,904
1450,905
1449,905
1449,904
1447,904
1447,903
1445,903
1445,902
1441,902
1441,901
1440,901
1440,900
1439,900
1439,899
1438,899
1438,896
1439,896
1439,895
1440,895
1440,893
1438,893
1438,892
1436,892
1436,891
1434,891
1434,890
1433,890
1433,889
1432,889
1432,888
1431,888
1431,887
1432,887
1432,886
1433,886
1433,885
1434,885
1434,883
1435,883
1435,880
1434,880
1434,878
1433,878
1433,876
1431,876
1431,875
1429,875
1429,878
1430,878
1430,883
1427,883
1427,882
1426,882
1426,881
1423,881
1423,883
1422,883
1422,884
1421,884
1421,885
1420,885
1420,886
1407,886
1407,885
1404,885
1404,888
1405,888
1405,889
1406,889
1406,890
1408,890
1408,889
1416,889
1416,890
1419,890
1419,889
1421,889
1421,888
1423,888
1423,887
1426,887
1426,888
1427,888
1427,889
1428,889
1428,890
1427,890
1427,891
1426,891
1426,893
1425,893
1425,895
1424,895
1424,897
1423,897
1423,899
1422,899
1422,901
1421,901
1421,904
1422,904
1422,906
1423,906
1423,908
1424,908
1424,909
1433,909
1433,910
1435,910
1435,911
1443,911
1443,915
1444,915
1444,916
1445,916
1445,917
1446,917
1446,918
1447,918
1447,919
1448,919
1448,920
1449,920
1449,921
1450,921
1450,922
1451,922
1451,926
1450,926
1450,927
1449,927
1449,928
1448,928
1448,929
1447,929
1447,932
1448,932
1448,935
1449,935
1449,939
1448,939
1448,940
1447,940
1447,941
1446,941
1446,943
1447,943
1447,944
1448,944
1448,945
1445,945
1445,946
1444,946
1444,947
1445,947
1445,948
1446,948
1446,949
1449,949
1449,948
1451,948
1451,947
1452,947
1452,946
1454,946
1454,947
1455,947
1455,948
1456,948
1456,959
1455,959
1455,960
1454,960
1454,961
1453,961
1453,962
1450,962
1450,961
1448,961
1448,965
1447,965
1447,966
1448,966
1448,968
1449,968
1449,972
1448,972
1448,973
1447,973
1447,975
1446,975
1446,977
1447,977
1447,978
1449,978
1449,979
1450,979
1450,985
1449,985
1449,986
1448,986
1448,987
1447,987
1447,988
1446,988
1446,989
1445,989
1445,990
1444,990
1444,992
1443,992
1443,993
1442,993
1442,994
1441,994
1441,995
1440,995
1440,996
1439,996
1439,997
1435,997
1435,996
1434,996
1434,995
1433,995
1433,994
1432,994
1432,991
1431,991
1431,989
1430,989
1430,988
1422,988
1422,989
1420,989
1420,992
1422,992
1422,993
1425,993
1425,994
1426,994
1426,997
1425,997
1425,998
1422,998
1422,999
1420,999
1420,1000
1419,1000
1419,1001
1418,1001
1418,1002
1417,1002
1417,1003
1416,1003
1416,1004
1414,1004
1414,1005
1412,1005
1412,1006
1409,1006
1409,1005
1408,1005
1408,1000
1409,1000
1409,998
1408,998
1408,997
1406,997
1406,998
1405,998
1405,999
1404,999
1404,1000
1403,1000
1403,1001
1402,1001
1402,1002
1401,1002
1401,1003
1400,1003
1400,1005
1399,1005
1399,1006
1398,1006
1398,1007
1397,1007
1397,1008
1391,1008
1391,1007
1389,1007
1389,1006
1387,1006
1387,1005
