X,Y
408,595
406,597
404,598
402,599
399,601
394,603
392,604
389,606
387,608
386,609
384,611
382,612
381,613
380,614
379,615
378,615
378,616
377,617
376,617
376,618
375,619
375,620
374,621
374,623
373,623
373,625
373,626
372,627
372,628
372,629
372,630
372,631
372,632
372,633
373,635
373,636
373,637
374,639
374,640
375,642
376,643
376,645
377,646
377,647
378,648
379,649
379,650
379,651
380,652
381,653
382,653
383,653
383,654
384,655
385,656
386,657
387,657
387,658
388,659
389,660
390,660
392,661
393,662
394,663
396,664
398,665
400,666
401,667
402,668
404,670
405,670
407,671
409,671
411,672
413,672
414,672
417,673
418,673
420,673
422,673
424,673
427,673
428,673
429,672
431,671
433,670
435,668
436,666
438,665
440,663
441,662
443,660
445,658
446,657
448,656
448,654
448,653
449,653
449,652
450,651
450,650
450,648
451,647
451,646
451,643
451,642
451,640
451,638
451,634
452,632
452,630
453,628
453,627
453,626
453,624
453,623
453,621
453,620
453,618
453,616
452,612
451,611
451,609
450,608
449,607
448,606
448,605
448,604
447,603
446,602
445,601
443,600
442,599
440,598
440,597
438,597
437,596
435,595
434,594
432,593
431,593
430,593
429,592
428,592
427,592
426,592
425,591
424,591
423,591
422,591
421,591
420,591
420,590
