X,Y
623,505
624,506
624,507
624,508
625,509
625,510
625,511
626,513
626,514
626,515
627,516
628,517
628,518
628,519
629,521
629,523
630,523
632,525
633,525
635,526
636,527
637,528
638,529
639,530
640,531
641,532
642,533
643,534
644,535
646,536
648,537
650,538
651,539
652,540
654,541
655,541
656,542
659,544
661,545
663,546
665,548
667,550
670,552
672,553
674,555
675,556
676,556
677,556
677,557
678,557
678,558
679,558
680,558
681,558
682,557
683,556
684,555
685,554
685,552
686,551
686,550
687,549
687,548
687,547
687,546
688,545
688,543
689,542
689,541
689,539
689,538
689,537
690,536
690,535
690,534
690,533
690,532
690,531
689,530
689,529
688,527
686,525
685,523
684,522
684,521
683,520
682,519
681,517
681,516
680,515
678,513
676,512
675,510
673,509
672,507
670,506
669,506
667,505
666,504
664,503
662,502
661,502
660,501
658,499
657,498
656,497
654,496
653,495
651,494
650,494
650,493
649,492
648,492
648,491
647,491
646,491
645,491
645,492
644,492
643,492
642,492
641,493
640,494
639,494
638,495
637,495
636,496
635,496
634,496
633,496
632,497
631,497
