Id	Grey	X	Y
row1	0.7058823529411765	1	1
row2	0.7137254901960784	2	1
row3	0.7058823529411765	3	1
row4	0.7098039215686275	4	1
row5	0.7137254901960784	5	1
row6	0.7137254901960784	6	1
row7	0.7098039215686275	7	1
row8	0.7098039215686275	8	1
row9	0.7137254901960784	9	1
row10	0.7137254901960784	10	1
row11	0.7176470588235294	11	1
row12	0.7098039215686275	12	1
row13	0.7137254901960784	13	1
row14	0.7098039215686275	14	1
row15	0.7137254901960784	15	1
row16	0.7176470588235294	16	1
row17	0.7176470588235294	17	1
row18	0.7215686274509804	18	1
row19	0.7137254901960784	19	1
row20	0.7176470588235294	20	1
row21	0.7137254901960784	21	1
row22	0.7215686274509804	22	1
row23	0.7215686274509804	23	1
row24	0.7215686274509804	24	1
row25	0.7137254901960784	25	1
row26	0.7254901960784313	26	1
row27	0.7215686274509804	27	1
row28	0.7254901960784313	28	1
row29	0.7254901960784313	29	1
row30	0.7176470588235294	30	1
row31	0.7294117647058823	31	1
row32	0.7254901960784313	32	1
row33	0.7294117647058823	33	1
row34	0.7294117647058823	34	1
row35	0.7294117647058823	35	1
row36	0.7294117647058823	36	1
row37	0.7294117647058823	37	1
row38	0.7333333333333333	38	1
row39	0.7294117647058823	39	1
row40	0.7215686274509804	40	1
row41	0.6941176470588235	41	1
row42	0.6745098039215687	42	1
row43	0.6627450980392157	43	1
row44	0.6666666666666666	44	1
row45	0.6627450980392157	45	1
row46	0.6549019607843137	46	1
row47	0.6313725490196078	47	1
row48	0.6274509803921569	48	1
row49	0.6235294117647059	49	1
row50	0.6313725490196078	50	1
row51	0.6313725490196078	51	1
row52	0.6392156862745098	52	1
row53	0.6431372549019608	53	1
row54	0.6274509803921569	54	1
row55	0.6352941176470588	55	1
row56	0.6509803921568628	56	1
row57	0.6588235294117647	57	1
row58	0.6352941176470588	58	1
row59	0.6274509803921569	59	1
row60	0.5647058823529412	60	1
row61	0.45098039215686275	61	1
row62	0.2980392156862745	62	1
row63	0.22745098039215686	63	1
row64	0.2235294117647059	64	1
row65	0.2235294117647059	65	1
row66	0.2235294117647059	66	1
row67	0.21176470588235294	67	1
row68	0.2	68	1
row69	0.20784313725490197	69	1
row70	0.1803921568627451	70	1
row71	0.16862745098039217	71	1
row72	0.17254901960784313	72	1
row73	0.1607843137254902	73	1
row74	0.1803921568627451	74	1
row75	0.2	75	1
row76	0.19607843137254902	76	1
row77	0.22745098039215686	77	1
row78	0.21176470588235294	78	1
row79	0.17647058823529413	79	1
row80	0.16862745098039217	80	1
row81	0.15294117647058825	81	1
row82	0.1568627450980392	82	1
row83	0.15294117647058825	83	1
row84	0.12156862745098039	84	1
row85	0.1411764705882353	85	1
row86	0.10588235294117647	86	1
row87	0.15294117647058825	87	1
row88	0.17647058823529413	88	1
row89	0.1607843137254902	89	1
row90	0.11764705882352941	90	1
row91	0.10980392156862745	91	1
row92	0.13333333333333333	92	1
