Color_Number	R	G	B	R_code
1	74	81	212	rgb(74,81,212, maxColorValue=255)
2	52	145	248	rgb(52,145,248, maxColorValue=255)
10	180	29	7	rgb(180,29,7, maxColorValue=255)
9	237	82	21	rgb(237,82,21, maxColorValue=255)
6	184	241	64	rgb(184,241,64, maxColorValue=255)
7	242	203	44	rgb(242,203,44, maxColorValue=255)
0	35	23	27	rgb(35,23,27, maxColorValue=255)
3	37	201	213	rgb(37,201,213, maxColorValue=255)
4	58	239	154	rgb(58,239,154, maxColorValue=255)
5	113	254	101	rgb(113,254,101, maxColorValue=255)
8	255	146	32	rgb(255,146,32, maxColorValue=255)
