Color_Number	R	G	B	R_code
2	0	112	192	rgb(0,112,192, maxColorValue=255)
3	250	200	5	rgb(250,200,5, maxColorValue=255)
4	204	10	251	rgb(204,10,251, maxColorValue=255)
6	254	160	152	rgb(254,160,152, maxColorValue=255)
5	53	160	50	rgb(53,160,50, maxColorValue=255)
0	98	202	230	rgb(98,202,230, maxColorValue=255)
10	255	125	0	rgb(255,125,0, maxColorValue=255)
8	245	226	157	rgb(245,226,157, maxColorValue=255)
1	255	255	0	rgb(255,255,0, maxColorValue=255)
7	255	0	0	rgb(255,0,0, maxColorValue=255)
9	115	60	160	rgb(115,60,160, maxColorValue=255)
